,Tipo A: Kunzea,Tipo B: Lepto,General
Precision,0.9131944444444444,0.9326923076923077,0.9234633190883191
Recall,0.926056338028169,0.9208860759493671,0.9233333333333333
Fscore,0.9195804195804196,0.9267515923566879,0.9233572372425874
