,Tipo A: Kunzea,Tipo B: Lepto,General
Precision,0.8317757009345794,0.9390681003584229,0.8882830312978035
Recall,0.9401408450704225,0.8291139240506329,0.8816666666666667
Fscore,0.8826446280991735,0.880672268907563,0.8816058522582587
