,Tipo A: Kunzea,Tipo B: Lepto,General
Precision,0.9013605442176871,0.9379084967320261,0.9206091325419057
Recall,0.9330985915492958,0.9082278481012658,0.92
Fscore,0.916955017301038,0.9228295819935691,0.920048954705771
