,Tipo A: Kunzea,Tipo B: Lepto,General
Precision,0.8426966292134831,0.8228228228228228,0.8322297578477353
Recall,0.7922535211267606,0.8670886075949367,0.8316666666666667
Fscore,0.8166969147005445,0.8443759630200307,0.8312745468154739
