,Tipo A: Kunzea,Tipo B: Lepto,General
Precision,0.8777777777777778,0.8575757575757575,0.8671380471380471
Recall,0.8345070422535211,0.8955696202531646,0.8666666666666667
Fscore,0.8555956678700362,0.8761609907120742,0.8664267379001762
